"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"","","sequential-priming","116","386541","0.0-3.0-113.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-252-224-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-252-224-N.png","gun_8.png"
"","","sequential-priming","117","389460","0.0-3.0-114.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-231-112-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-231-112-N.png","gun_15.png"
"","","sequential-priming","118","392381","0.0-3.0-115.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-004-010-N.png"",""./GrayNonguns/tool_1.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-004-010-N.png","tool_1.png"
"","","sequential-priming","119","395298","0.0-3.0-116.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-249-239-N.png"",""./GrayGuns/gun_12.png"",""MaskReal.png""]","","","low","gun","SHINEd_Lo_WM-249-239-N.png","gun_12.png"
"","","sequential-priming","120","398215","0.0-3.0-117.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-213-076-N.png"",""./GrayNonguns/wallet_4.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-213-076-N.png","wallet_4.png"
"","","sequential-priming","121","401131","0.0-3.0-118.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-254-152-N.png"",""./GrayNonguns/wallet_2.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-254-152-N.png","wallet_2.png"
"","","sequential-priming","122","404047","0.0-3.0-119.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-004-010-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-004-010-N.png","tool_3.png"
"","","sequential-priming","123","406968","0.0-3.0-120.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-206-045-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-206-045-N.png","keys_6.png"
"","","sequential-priming","124","409883","0.0-3.0-121.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-033-025-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-033-025-N.png","gun_3.png"
"","","sequential-priming","125","412803","0.0-3.0-122.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-002-009-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-002-009-N.png","wallet_3.png"
"","","sequential-priming","126","415726","0.0-3.0-123.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-037-025-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","","","low","nogun","SHINEd_Lo_WM-037-025-N.png","wallet_5.png"
"","","sequential-priming","127","418646","0.0-3.0-124.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-035-032-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-035-032-N.png","gun_1.png"
"","","sequential-priming","128","421567","0.0-3.0-125.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-015-002-N*.png"",""./GrayNonguns/wallet_7.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-015-002-N*.png","wallet_7.png"
"","","sequential-priming","129","424483","0.0-3.0-126.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-039-018-N.png"",""./GrayNonguns/wallet_1.png"",""MaskReal.png""]","","","high","nogun","SHINEd_Hi_WM-039-018-N.png","wallet_1.png"
"","","sequential-priming","130","427399","0.0-3.0-127.0","-1","1492037737665","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-222-057-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","","high","gun","SHINEd_Hi_WM-222-057-N.png","gun_13.png"
