"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","constrast","obj_type","face_id","obj_id","rt_from_start","correct"
"","","sequential-priming","63","198486","0.0-3.0-60.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-003-002-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-003-002-N.png","keys_4.png","",""
"","","sequential-priming","64","201401","0.0-3.0-61.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-249-239-N.png"",""./GrayNonguns/cell_8.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-249-239-N.png","cell_8.png","",""
"","","sequential-priming","65","204314","0.0-3.0-62.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-218-074-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-218-074-N.png","gun_3.png","",""
"","","sequential-priming","66","207225","0.0-3.0-63.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-238-020-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-238-020-N.png","gun_10.png","",""
"","","sequential-priming","67","210142","0.0-3.0-64.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-208-068-N.png"",""./GrayGuns/gun_10.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-208-068-N.png","gun_10.png","",""
"","","sequential-priming","68","213054","0.0-3.0-65.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-010-001-N.png"",""./GrayNonguns/keys_2.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-010-001-N.png","keys_2.png","",""
"","","sequential-priming","69","215967","0.0-3.0-66.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-019-003-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-019-003-N.png","gun_4.png","",""
"","","sequential-priming","70","218879","0.0-3.0-67.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-038-003-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-038-003-N.png","gun_16.png","",""
"","","sequential-priming","71","221793","0.0-3.0-68.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-001-0140-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-001-0140-N.png","gun_15.png","",""
"","","sequential-priming","72","224707","0.0-3.0-69.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-251-002-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-251-002-N.png","gun_14.png","",""
"","","sequential-priming","73","227620","0.0-3.0-70.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-205-007-N.png"",""./GrayNonguns/cell_4.png"",""MaskReal.png""]","high","nogun","SHINEd_Hi_WM-205-007-N.png","cell_4.png","",""
"","","sequential-priming","74","230534","0.0-3.0-71.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-017-002-N.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-017-002-N.png","gun_19.png","",""
"","","sequential-priming","75","233450","0.0-3.0-72.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-242-011-N.png"",""./GrayGuns/gun_9.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-242-011-N.png","gun_9.png","",""
"","","sequential-priming","76","236361","0.0-3.0-73.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-257-161-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-257-161-N.png","gun_1.png","",""
"","","sequential-priming","77","239274","0.0-3.0-74.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-252-224-N.png"",""./GrayGuns/gun_11.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-252-224-N.png","gun_11.png","",""
"918","73","sequential-priming","78","242598","0.0-3.0-75.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-243-107-N.png"",""./GrayGuns/gun_8.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-243-107-N.png","gun_8.png","1318","true"
"337","73","sequential-priming","79","245341","0.0-3.0-76.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-026-001-N.png"",""./GrayNonguns/wallet_1.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-026-001-N.png","wallet_1.png","737","false"
"","","sequential-priming","80","248254","0.0-3.0-77.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-035-032-N.png"",""./GrayGuns/gun_4.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-035-032-N.png","gun_4.png","",""
"","","sequential-priming","81","251167","0.0-3.0-78.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-224-197-N.png"",""./GrayGuns/gun_6.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-224-197-N.png","gun_6.png","",""
"","","sequential-priming","82","254081","0.0-3.0-79.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-028-003-N.png"",""./GrayNonguns/wallet_5.png"",""MaskReal.png""]","low","nogun","SHINEd_Lo_WM-028-003-N.png","wallet_5.png","",""
"","","sequential-priming","83","256994","0.0-3.0-80.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-233-106-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-233-106-N.png","gun_13.png","",""
"","","sequential-priming","84","259907","0.0-3.0-81.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-207-048-N.png"",""./GrayGuns/gun_2.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-207-048-N.png","gun_2.png","",""
"","","sequential-priming","85","262819","0.0-3.0-82.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-011-002-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-011-002-N.png","gun_7.png","",""
"","","sequential-priming","86","265733","0.0-3.0-83.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-242-011-N.png"",""./GrayGuns/gun_3.png"",""MaskReal.png""]","high","gun","SHINEd_Hi_WM-242-011-N.png","gun_3.png","",""
"","","sequential-priming","87","268648","0.0-3.0-84.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-231-112-N.png"",""./GrayGuns/gun_17.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-231-112-N.png","gun_17.png","",""
"","","sequential-priming","88","271560","0.0-3.0-85.0","-1","1492035703161","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-026-001-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","low","gun","SHINEd_Lo_WM-026-001-N.png","gun_1.png","",""
